,BD use,T & D,BD production,soybean farm,diesel production,Others,Allocated Supply,Local Supply
Demand,0.0124,0.00681,0.00241,0.000465,0.000137,0.0001,0,0
Supply,0,0,0,0,0,0,0.004832,0.0373070665
