 ,process 1,process 2,process 3,process 4,process 5,process 6,process 7,process 8
carbon sequestration,0.000187,0,0,0,0,0,0,0
carbon sequestration,0,1.33E-05,0,0,0,0,0,0
carbon sequestration,0,0,0.000316,0,0,0,0,0
carbon sequestration,0,0,0,2.85E-05,0,0,0,0
carbon sequestration,0,0,0,0,0.00107,0,0,0
carbon sequestration,0,0,0,0,0,0.00241,0,0
carbon sequestration,0,0,0,0,0,0,0.00681,0
carbon sequestration,0,0,0,0,0,0,0,0.0124
