 ,process 1,process 2,process 3,process 4,process 5,process 6,process 7,process 8
product 1,8.08,0,0,0,-8.08,0,0,0
product 2,0,5.41,0,0,-5.41,0,0,0
product 3,0,0,9.97,0,-9.97,0,0,0
product 4,0,0,0,1.11,-1.11,0,0,0
product 5,0,0,0,0,133.68,-133.68,0,0
product 6,0,0,0,0,0,1,-1,0
product 7,0,0,0,0,0,0,1,-1
product 8,0,0,0,0,0,0,0,1
